"Date","health_board","Indicator_Code","Count"
2020-04-02,"Wales","CO_IVBed_Spare",174
2020-04-03,"Betsi Cadwaladr University Health Board","CO_GABed_C19",83
2020-04-03,"Betsi Cadwaladr University Health Board","CO_GABed_NonC19",596
2020-04-03,"Betsi Cadwaladr University Health Board","CO_GABed_Spare",569
2020-04-03,"Betsi Cadwaladr University Health Board","CO_IVBed_C19",16
2020-04-03,"Betsi Cadwaladr University Health Board","CO_IVBed_NonC19",11
2020-04-03,"Betsi Cadwaladr University Health Board","CO_IVBed_Spare",19
2020-04-03,"Hywel Dda University Health Board","CO_GABed_C19",77
2020-04-03,"Hywel Dda University Health Board","CO_GABed_NonC19",285
2020-04-03,"Hywel Dda University Health Board","CO_GABed_Spare",463
2020-04-03,"Hywel Dda University Health Board","CO_IVBed_C19",3
2020-04-03,"Hywel Dda University Health Board","CO_IVBed_NonC19",6
2020-04-03,"Hywel Dda University Health Board","CO_IVBed_Spare",37
2020-04-03,"Abertawe Bro Morgannwg University Health Board","CO_GABed_C19",129
2020-04-03,"Abertawe Bro Morgannwg University Health Board","CO_GABed_NonC19",501
2020-04-03,"Abertawe Bro Morgannwg University Health Board","CO_GABed_Spare",404
2020-04-03,"Abertawe Bro Morgannwg University Health Board","CO_IVBed_C19",20
2020-04-03,"Abertawe Bro Morgannwg University Health Board","CO_IVBed_NonC19",17
2020-04-03,"Abertawe Bro Morgannwg University Health Board","CO_IVBed_Spare",54
2020-04-03,"Cardiff and Vale University Health Board","CO_GABed_C19",160
2020-04-03,"Cardiff and Vale University Health Board","CO_GABed_NonC19",511
2020-04-03,"Cardiff and Vale University Health Board","CO_GABed_Spare",680
2020-04-03,"Cardiff and Vale University Health Board","CO_IVBed_C19",23
2020-04-03,"Cardiff and Vale University Health Board","CO_IVBed_NonC19",17
2020-04-03,"Cardiff and Vale University Health Board","CO_IVBed_Spare",23
2020-04-03,"Cwm Taf University Health Board","CO_GABed_C19",124
2020-04-03,"Cwm Taf University Health Board","CO_GABed_NonC19",446
2020-04-03,"Cwm Taf University Health Board","CO_GABed_Spare",385
2020-04-03,"Cwm Taf University Health Board","CO_IVBed_C19",20
2020-04-03,"Cwm Taf University Health Board","CO_IVBed_NonC19",6
2020-04-03,"Cwm Taf University Health Board","CO_IVBed_Spare",31
2020-04-03,"Aneurin Bevan University Health Board","CO_GABed_C19",216
2020-04-03,"Aneurin Bevan University Health Board","CO_GABed_NonC19",308
2020-04-03,"Aneurin Bevan University Health Board","CO_GABed_Spare",597
2020-04-03,"Aneurin Bevan University Health Board","CO_IVBed_C19",28
2020-04-03,"Aneurin Bevan University Health Board","CO_IVBed_NonC19",2
2020-04-03,"Aneurin Bevan University Health Board","CO_IVBed_Spare",15
2020-04-03,"Velindre University NHS Trust","CO_GABed_C19",12
2020-04-03,"Velindre University NHS Trust","CO_GABed_NonC19",1
2020-04-03,"Velindre University NHS Trust","CO_GABed_Spare",17
2020-04-03,"Velindre University NHS Trust","CO_IVBed_C19",0
2020-04-03,"Velindre University NHS Trust","CO_IVBed_NonC19",0
2020-04-03,"Velindre University NHS Trust","CO_IVBed_Spare",0
2020-04-03,"Wales","CO_GABed_C19",801
2020-04-03,"Wales","CO_GABed_NonC19",2648
2020-04-03,"Wales","CO_GABed_Spare",3115
2020-04-03,"Wales","CO_IVBed_C19",110
2020-04-03,"Wales","CO_IVBed_NonC19",59
2020-04-03,"Wales","CO_IVBed_Spare",179
2020-04-04,"Betsi Cadwaladr University Health Board","CO_GABed_C19",89
2020-04-04,"Betsi Cadwaladr University Health Board","CO_GABed_NonC19",600
2020-04-04,"Betsi Cadwaladr University Health Board","CO_GABed_Spare",556
2020-04-04,"Betsi Cadwaladr University Health Board","CO_IVBed_C19",14
2020-04-04,"Betsi Cadwaladr University Health Board","CO_IVBed_NonC19",21
2020-04-04,"Betsi Cadwaladr University Health Board","CO_IVBed_Spare",21
2020-04-04,"Hywel Dda University Health Board","CO_GABed_C19",62
2020-04-04,"Hywel Dda University Health Board","CO_GABed_NonC19",103
2020-04-04,"Hywel Dda University Health Board","CO_GABed_Spare",648
2020-04-04,"Hywel Dda University Health Board","CO_IVBed_C19",2
2020-04-04,"Hywel Dda University Health Board","CO_IVBed_NonC19",6
2020-04-04,"Hywel Dda University Health Board","CO_IVBed_Spare",35
2020-04-04,"Abertawe Bro Morgannwg University Health Board","CO_GABed_C19",123
2020-04-04,"Abertawe Bro Morgannwg University Health Board","CO_GABed_NonC19",565
2020-04-04,"Abertawe Bro Morgannwg University Health Board","CO_GABed_Spare",257
2020-04-04,"Abertawe Bro Morgannwg University Health Board","CO_IVBed_C19",20
2020-04-04,"Abertawe Bro Morgannwg University Health Board","CO_IVBed_NonC19",15
2020-04-04,"Abertawe Bro Morgannwg University Health Board","CO_IVBed_Spare",56
2020-04-04,"Cardiff and Vale University Health Board","CO_GABed_C19",170
2020-04-04,"Cardiff and Vale University Health Board","CO_GABed_NonC19",452
2020-04-04,"Cardiff and Vale University Health Board","CO_GABed_Spare",729
2020-04-04,"Cardiff and Vale University Health Board","CO_IVBed_C19",29
2020-04-04,"Cardiff and Vale University Health Board","CO_IVBed_NonC19",11
2020-04-04,"Cardiff and Vale University Health Board","CO_IVBed_Spare",23
2020-04-04,"Cwm Taf University Health Board","CO_GABed_C19",122
2020-04-04,"Cwm Taf University Health Board","CO_GABed_NonC19",371
2020-04-04,"Cwm Taf University Health Board","CO_GABed_Spare",441
2020-04-04,"Cwm Taf University Health Board","CO_IVBed_C19",24
2020-04-04,"Cwm Taf University Health Board","CO_IVBed_NonC19",5
2020-04-04,"Cwm Taf University Health Board","CO_IVBed_Spare",23
2020-04-04,"Aneurin Bevan University Health Board","CO_GABed_C19",219
2020-04-04,"Aneurin Bevan University Health Board","CO_GABed_NonC19",294
2020-04-04,"Aneurin Bevan University Health Board","CO_GABed_Spare",655
2020-04-04,"Aneurin Bevan University Health Board","CO_IVBed_C19",33
2020-04-04,"Aneurin Bevan University Health Board","CO_IVBed_NonC19",2
2020-04-04,"Aneurin Bevan University Health Board","CO_IVBed_Spare",16
2020-04-04,"Velindre University NHS Trust","CO_GABed_C19",8
2020-04-04,"Velindre University NHS Trust","CO_GABed_NonC19",4
2020-04-04,"Velindre University NHS Trust","CO_GABed_Spare",18
2020-04-04,"Velindre University NHS Trust","CO_IVBed_C19",0
2020-04-04,"Velindre University NHS Trust","CO_IVBed_NonC19",0
2020-04-04,"Velindre University NHS Trust","CO_IVBed_Spare",0
2020-04-04,"Wales","CO_GABed_C19",793
2020-04-04,"Wales","CO_GABed_NonC19",2389
2020-04-04,"Wales","CO_GABed_Spare",3304
2020-04-04,"Wales","CO_IVBed_C19",122
2020-04-04,"Wales","CO_IVBed_NonC19",60
2020-04-04,"Wales","CO_IVBed_Spare",174
2020-04-05,"Betsi Cadwaladr University Health Board","CO_GABed_C19",98
2020-04-05,"Betsi Cadwaladr University Health Board","CO_GABed_NonC19",722
2020-04-05,"Betsi Cadwaladr University Health Board","CO_GABed_Spare",336
2020-04-05,"Betsi Cadwaladr University Health Board","CO_IVBed_C19",22
2020-04-05,"Betsi Cadwaladr University Health Board","CO_IVBed_NonC19",8
2020-04-05,"Betsi Cadwaladr University Health Board","CO_IVBed_Spare",27
2020-04-05,"Hywel Dda University Health Board","CO_GABed_C19",73
2020-04-05,"Hywel Dda University Health Board","CO_GABed_NonC19",141
2020-04-05,"Hywel Dda University Health Board","CO_GABed_Spare",594
2020-04-05,"Hywel Dda University Health Board","CO_IVBed_C19",3
2020-04-05,"Hywel Dda University Health Board","CO_IVBed_NonC19",5
2020-04-05,"Hywel Dda University Health Board","CO_IVBed_Spare",35
2020-04-05,"Abertawe Bro Morgannwg University Health Board","CO_GABed_C19",155
2020-04-05,"Abertawe Bro Morgannwg University Health Board","CO_GABed_NonC19",519
2020-04-05,"Abertawe Bro Morgannwg University Health Board","CO_GABed_Spare",128
2020-04-05,"Abertawe Bro Morgannwg University Health Board","CO_IVBed_C19",18
2020-04-05,"Abertawe Bro Morgannwg University Health Board","CO_IVBed_NonC19",14
2020-04-05,"Abertawe Bro Morgannwg University Health Board","CO_IVBed_Spare",59
2020-04-05,"Cardiff and Vale University Health Board","CO_GABed_C19",162
2020-04-05,"Cardiff and Vale University Health Board","CO_GABed_NonC19",439
2020-04-05,"Cardiff and Vale University Health Board","CO_GABed_Spare",750
2020-04-05,"Cardiff and Vale University Health Board","CO_IVBed_C19",29
2020-04-05,"Cardiff and Vale University Health Board","CO_IVBed_NonC19",9
2020-04-05,"Cardiff and Vale University Health Board","CO_IVBed_Spare",25
2020-04-05,"Cwm Taf University Health Board","CO_GABed_C19",134
2020-04-05,"Cwm Taf University Health Board","CO_GABed_NonC19",424
2020-04-05,"Cwm Taf University Health Board","CO_GABed_Spare",378
2020-04-05,"Cwm Taf University Health Board","CO_IVBed_C19",23
2020-04-05,"Cwm Taf University Health Board","CO_IVBed_NonC19",4
2020-04-05,"Cwm Taf University Health Board","CO_IVBed_Spare",25
2020-04-05,"Aneurin Bevan University Health Board","CO_GABed_C19",231
2020-04-05,"Aneurin Bevan University Health Board","CO_GABed_NonC19",243
2020-04-05,"Aneurin Bevan University Health Board","CO_GABed_Spare",654
2020-04-05,"Aneurin Bevan University Health Board","CO_IVBed_C19",36
2020-04-05,"Aneurin Bevan University Health Board","CO_IVBed_NonC19",4
2020-04-05,"Aneurin Bevan University Health Board","CO_IVBed_Spare",11
2020-04-05,"Velindre University NHS Trust","CO_GABed_C19",6
2020-04-05,"Velindre University NHS Trust","CO_GABed_NonC19",9
2020-04-05,"Velindre University NHS Trust","CO_GABed_Spare",15
2020-04-05,"Velindre University NHS Trust","CO_IVBed_C19",0
2020-04-05,"Velindre University NHS Trust","CO_IVBed_NonC19",0
2020-04-05,"Velindre University NHS Trust","CO_IVBed_Spare",0
2020-04-05,"Wales","CO_GABed_C19",859
2020-04-05,"Wales","CO_GABed_NonC19",2497
2020-04-05,"Wales","CO_GABed_Spare",2855
2020-04-05,"Wales","CO_IVBed_C19",131
2020-04-05,"Wales","CO_IVBed_NonC19",44
2020-04-05,"Wales","CO_IVBed_Spare",182
2020-04-06,"Betsi Cadwaladr University Health Board","CO_GABed_C19",98
2020-04-06,"Betsi Cadwaladr University Health Board","CO_GABed_NonC19",715
2020-04-06,"Betsi Cadwaladr University Health Board","CO_GABed_Spare",346
2020-04-06,"Betsi Cadwaladr University Health Board","CO_IVBed_C19",18
2020-04-06,"Betsi Cadwaladr University Health Board","CO_IVBed_NonC19",8
2020-04-06,"Betsi Cadwaladr University Health Board","CO_IVBed_Spare",30
2020-04-06,"Hywel Dda University Health Board","CO_GABed_C19",85
2020-04-06,"Hywel Dda University Health Board","CO_GABed_NonC19",218
2020-04-06,"Hywel Dda University Health Board","CO_GABed_Spare",525
2020-04-06,"Hywel Dda University Health Board","CO_IVBed_C19",4
2020-04-06,"Hywel Dda University Health Board","CO_IVBed_NonC19",4
2020-04-06,"Hywel Dda University Health Board","CO_IVBed_Spare",34
2020-04-06,"Abertawe Bro Morgannwg University Health Board","CO_GABed_C19",155
2020-04-06,"Abertawe Bro Morgannwg University Health Board","CO_GABed_NonC19",398
2020-04-06,"Abertawe Bro Morgannwg University Health Board","CO_GABed_Spare",193
2020-04-06,"Abertawe Bro Morgannwg University Health Board","CO_IVBed_C19",20
2020-04-06,"Abertawe Bro Morgannwg University Health Board","CO_IVBed_NonC19",18
2020-04-06,"Abertawe Bro Morgannwg University Health Board","CO_IVBed_Spare",53
2020-04-06,"Cardiff and Vale University Health Board","CO_GABed_C19",180
2020-04-06,"Cardiff and Vale University Health Board","CO_GABed_NonC19",456
2020-04-06,"Cardiff and Vale University Health Board","CO_GABed_Spare",715
2020-04-06,"Cardiff and Vale University Health Board","CO_IVBed_C19",32
2020-04-06,"Cardiff and Vale University Health Board","CO_IVBed_NonC19",13
2020-04-06,"Cardiff and Vale University Health Board","CO_IVBed_Spare",26
2020-04-06,"Cwm Taf University Health Board","CO_GABed_C19",156
2020-04-06,"Cwm Taf University Health Board","CO_GABed_NonC19",372
2020-04-06,"Cwm Taf University Health Board","CO_GABed_Spare",408
2020-04-06,"Cwm Taf University Health Board","CO_IVBed_C19",26
2020-04-06,"Cwm Taf University Health Board","CO_IVBed_NonC19",5
2020-04-06,"Cwm Taf University Health Board","CO_IVBed_Spare",21
2020-04-06,"Aneurin Bevan University Health Board","CO_GABed_C19",226
2020-04-06,"Aneurin Bevan University Health Board","CO_GABed_NonC19",281
2020-04-06,"Aneurin Bevan University Health Board","CO_GABed_Spare",615
2020-04-06,"Aneurin Bevan University Health Board","CO_IVBed_C19",37
2020-04-06,"Aneurin Bevan University Health Board","CO_IVBed_NonC19",3
2020-04-06,"Aneurin Bevan University Health Board","CO_IVBed_Spare",17
2020-04-06,"Velindre University NHS Trust","CO_GABed_C19",7
2020-04-06,"Velindre University NHS Trust","CO_GABed_NonC19",5
2020-04-06,"Velindre University NHS Trust","CO_GABed_Spare",19
2020-04-06,"Velindre University NHS Trust","CO_IVBed_C19",0
2020-04-06,"Velindre University NHS Trust","CO_IVBed_NonC19",0
2020-04-06,"Velindre University NHS Trust","CO_IVBed_Spare",0
2020-04-06,"Wales","CO_GABed_C19",907
2020-04-06,"Wales","CO_GABed_NonC19",2445
2020-04-06,"Wales","CO_GABed_Spare",2821
2020-04-06,"Wales","CO_IVBed_C19",137
2020-04-06,"Wales","CO_IVBed_NonC19",51
2020-04-06,"Wales","CO_IVBed_Spare",181
2020-04-07,"Betsi Cadwaladr University Health Board","CO_GABed_C19",103
2020-04-07,"Betsi Cadwaladr University Health Board","CO_GABed_NonC19",615
2020-04-07,"Betsi Cadwaladr University Health Board","CO_GABed_Spare",525
2020-04-07,"Betsi Cadwaladr University Health Board","CO_IVBed_C19",19
2020-04-07,"Betsi Cadwaladr University Health Board","CO_IVBed_NonC19",10
2020-04-07,"Betsi Cadwaladr University Health Board","CO_IVBed_Spare",30
2020-04-07,"Hywel Dda University Health Board","CO_GABed_C19",84
2020-04-07,"Hywel Dda University Health Board","CO_GABed_NonC19",270
2020-04-07,"Hywel Dda University Health Board","CO_GABed_Spare",498
2020-04-07,"Hywel Dda University Health Board","CO_IVBed_C19",4
2020-04-07,"Hywel Dda University Health Board","CO_IVBed_NonC19",4
2020-04-07,"Hywel Dda University Health Board","CO_IVBed_Spare",38
2020-04-07,"Abertawe Bro Morgannwg University Health Board","CO_GABed_C19",168
2020-04-07,"Abertawe Bro Morgannwg University Health Board","CO_GABed_NonC19",389
2020-04-07,"Abertawe Bro Morgannwg University Health Board","CO_GABed_Spare",73
2020-04-07,"Abertawe Bro Morgannwg University Health Board","CO_IVBed_C19",22
2020-04-07,"Abertawe Bro Morgannwg University Health Board","CO_IVBed_NonC19",18
2020-04-07,"Abertawe Bro Morgannwg University Health Board","CO_IVBed_Spare",69
2020-04-07,"Cardiff and Vale University Health Board","CO_GABed_C19",180
2020-04-07,"Cardiff and Vale University Health Board","CO_GABed_NonC19",458
2020-04-07,"Cardiff and Vale University Health Board","CO_GABed_Spare",705
2020-04-07,"Cardiff and Vale University Health Board","CO_IVBed_C19",33
2020-04-07,"Cardiff and Vale University Health Board","CO_IVBed_NonC19",13
2020-04-07,"Cardiff and Vale University Health Board","CO_IVBed_Spare",25
2020-04-07,"Cwm Taf University Health Board","CO_GABed_C19",160
2020-04-07,"Cwm Taf University Health Board","CO_GABed_NonC19",373
2020-04-07,"Cwm Taf University Health Board","CO_GABed_Spare",403
2020-04-07,"Cwm Taf University Health Board","CO_IVBed_C19",29
2020-04-07,"Cwm Taf University Health Board","CO_IVBed_NonC19",3
2020-04-07,"Cwm Taf University Health Board","CO_IVBed_Spare",28
2020-04-07,"Aneurin Bevan University Health Board","CO_GABed_C19",208
2020-04-07,"Aneurin Bevan University Health Board","CO_GABed_NonC19",284
2020-04-07,"Aneurin Bevan University Health Board","CO_GABed_Spare",630
2020-04-07,"Aneurin Bevan University Health Board","CO_IVBed_C19",37
2020-04-07,"Aneurin Bevan University Health Board","CO_IVBed_NonC19",5
2020-04-07,"Aneurin Bevan University Health Board","CO_IVBed_Spare",15
2020-04-07,"Velindre University NHS Trust","CO_GABed_C19",7
2020-04-07,"Velindre University NHS Trust","CO_GABed_NonC19",6
2020-04-07,"Velindre University NHS Trust","CO_GABed_Spare",17
2020-04-07,"Velindre University NHS Trust","CO_IVBed_C19",0
2020-04-07,"Velindre University NHS Trust","CO_IVBed_NonC19",0
2020-04-07,"Velindre University NHS Trust","CO_IVBed_Spare",0
2020-04-07,"Wales","CO_GABed_C19",910
2020-04-07,"Wales","CO_GABed_NonC19",2395
2020-04-07,"Wales","CO_GABed_Spare",2851
2020-04-07,"Wales","CO_IVBed_C19",144
2020-04-07,"Wales","CO_IVBed_NonC19",53
2020-04-07,"Wales","CO_IVBed_Spare",205
2020-04-08,"Betsi Cadwaladr University Health Board","CO_GABed_C19",115
2020-04-08,"Betsi Cadwaladr University Health Board","CO_GABed_NonC19",551
2020-04-08,"Betsi Cadwaladr University Health Board","CO_GABed_Spare",580
2020-04-08,"Betsi Cadwaladr University Health Board","CO_IVBed_C19",24
2020-04-08,"Betsi Cadwaladr University Health Board","CO_IVBed_NonC19",8
2020-04-08,"Betsi Cadwaladr University Health Board","CO_IVBed_Spare",30
2020-04-08,"Hywel Dda University Health Board","CO_GABed_C19",87
2020-04-08,"Hywel Dda University Health Board","CO_GABed_NonC19",272
2020-04-08,"Hywel Dda University Health Board","CO_GABed_Spare",478
2020-04-08,"Hywel Dda University Health Board","CO_IVBed_C19",4
2020-04-08,"Hywel Dda University Health Board","CO_IVBed_NonC19",5
2020-04-08,"Hywel Dda University Health Board","CO_IVBed_Spare",37
2020-04-08,"Abertawe Bro Morgannwg University Health Board","CO_GABed_C19",184
2020-04-08,"Abertawe Bro Morgannwg University Health Board","CO_GABed_NonC19",325
2020-04-08,"Abertawe Bro Morgannwg University Health Board","CO_GABed_Spare",254
2020-04-08,"Abertawe Bro Morgannwg University Health Board","CO_IVBed_C19",22
2020-04-08,"Abertawe Bro Morgannwg University Health Board","CO_IVBed_NonC19",18
2020-04-08,"Abertawe Bro Morgannwg University Health Board","CO_IVBed_Spare",69
2020-04-08,"Cardiff and Vale University Health Board","CO_GABed_C19",200
2020-04-08,"Cardiff and Vale University Health Board","CO_GABed_NonC19",463
2020-04-08,"Cardiff and Vale University Health Board","CO_GABed_Spare",675
2020-04-08,"Cardiff and Vale University Health Board","CO_IVBed_C19",33
2020-04-08,"Cardiff and Vale University Health Board","CO_IVBed_NonC19",13
2020-04-08,"Cardiff and Vale University Health Board","CO_IVBed_Spare",30
2020-04-08,"Cwm Taf University Health Board","CO_GABed_C19",178
2020-04-08,"Cwm Taf University Health Board","CO_GABed_NonC19",364
2020-04-08,"Cwm Taf University Health Board","CO_GABed_Spare",417
2020-04-08,"Cwm Taf University Health Board","CO_IVBed_C19",26
2020-04-08,"Cwm Taf University Health Board","CO_IVBed_NonC19",3
2020-04-08,"Cwm Taf University Health Board","CO_IVBed_Spare",31
2020-04-08,"Aneurin Bevan University Health Board","CO_GABed_C19",239
2020-04-08,"Aneurin Bevan University Health Board","CO_GABed_NonC19",280
2020-04-08,"Aneurin Bevan University Health Board","CO_GABed_Spare",621
2020-04-08,"Aneurin Bevan University Health Board","CO_IVBed_C19",41
2020-04-08,"Aneurin Bevan University Health Board","CO_IVBed_NonC19",5
2020-04-08,"Aneurin Bevan University Health Board","CO_IVBed_Spare",11
2020-04-08,"Velindre University NHS Trust","CO_GABed_C19",7
2020-04-08,"Velindre University NHS Trust","CO_GABed_NonC19",7
2020-04-08,"Velindre University NHS Trust","CO_GABed_Spare",16
2020-04-08,"Velindre University NHS Trust","CO_IVBed_C19",0
2020-04-08,"Velindre University NHS Trust","CO_IVBed_NonC19",0
2020-04-08,"Velindre University NHS Trust","CO_IVBed_Spare",0
2020-04-08,"Wales","CO_GABed_C19",1010
2020-04-08,"Wales","CO_GABed_NonC19",2262
2020-04-08,"Wales","CO_GABed_Spare",3041
2020-04-08,"Wales","CO_IVBed_C19",150
2020-04-08,"Wales","CO_IVBed_NonC19",52
2020-04-08,"Wales","CO_IVBed_Spare",208
2020-04-09,"Betsi Cadwaladr University Health Board","CO_GABed_C19",124
2020-04-09,"Betsi Cadwaladr University Health Board","CO_GABed_NonC19",536
2020-04-09,"Betsi Cadwaladr University Health Board","CO_GABed_Spare",580
2020-04-09,"Betsi Cadwaladr University Health Board","CO_IVBed_C19",20
2020-04-09,"Betsi Cadwaladr University Health Board","CO_IVBed_NonC19",12
2020-04-09,"Betsi Cadwaladr University Health Board","CO_IVBed_Spare",30
2020-04-09,"Hywel Dda University Health Board","CO_GABed_C19",90
2020-04-09,"Hywel Dda University Health Board","CO_GABed_NonC19",266
2020-04-09,"Hywel Dda University Health Board","CO_GABed_Spare",480
2020-04-09,"Hywel Dda University Health Board","CO_IVBed_C19",4
2020-04-09,"Hywel Dda University Health Board","CO_IVBed_NonC19",4
2020-04-09,"Hywel Dda University Health Board","CO_IVBed_Spare",38
