"date","health_board","admission_type","count","covid_status"
2020-04-01,"Velindre University NHS Trust","C19_Sus",3,"Suspected"
2020-04-01,"Velindre University NHS Trust","NonC19",1,NA
2020-04-01,"Wales","All",3758,NA
2020-04-01,"Wales","C19",882,"All"
2020-04-01,"Wales","C19_Con",483,"Confirmed"
2020-04-01,"Wales","C19_Sus",399,"Suspected"
2020-04-01,"Wales","NonC19",2876,NA
2020-04-02,"Betsi Cadwaladr University Health Board","All",705,NA
2020-04-02,"Betsi Cadwaladr University Health Board","C19",85,"All"
2020-04-02,"Betsi Cadwaladr University Health Board","C19_Con",34,"Confirmed"
2020-04-02,"Betsi Cadwaladr University Health Board","C19_Sus",51,"Suspected"
2020-04-02,"Betsi Cadwaladr University Health Board","NonC19",620,NA
2020-04-02,"Hywel Dda University Health Board","All",393,NA
2020-04-02,"Hywel Dda University Health Board","C19",74,"All"
2020-04-02,"Hywel Dda University Health Board","C19_Con",36,"Confirmed"
2020-04-02,"Hywel Dda University Health Board","C19_Sus",38,"Suspected"
2020-04-02,"Hywel Dda University Health Board","NonC19",319,NA
2020-04-02,"Abertawe Bro Morgannwg University Health Board","All",689,NA
2020-04-02,"Abertawe Bro Morgannwg University Health Board","C19",140,"All"
2020-04-02,"Abertawe Bro Morgannwg University Health Board","C19_Con",59,"Confirmed"
2020-04-02,"Abertawe Bro Morgannwg University Health Board","C19_Sus",81,"Suspected"
2020-04-02,"Abertawe Bro Morgannwg University Health Board","NonC19",549,NA
2020-04-02,"Cardiff and Vale University Health Board","All",763,NA
2020-04-02,"Cardiff and Vale University Health Board","C19",183,"All"
2020-04-02,"Cardiff and Vale University Health Board","C19_Con",146,"Confirmed"
2020-04-02,"Cardiff and Vale University Health Board","C19_Sus",37,"Suspected"
2020-04-02,"Cardiff and Vale University Health Board","NonC19",580,NA
2020-04-02,"Cwm Taf University Health Board","All",639,NA
2020-04-02,"Cwm Taf University Health Board","C19",140,"All"
2020-04-02,"Cwm Taf University Health Board","C19_Con",65,"Confirmed"
2020-04-02,"Cwm Taf University Health Board","C19_Sus",75,"Suspected"
2020-04-02,"Cwm Taf University Health Board","NonC19",499,NA
2020-04-02,"Aneurin Bevan University Health Board","All",577,NA
2020-04-02,"Aneurin Bevan University Health Board","C19",232,"All"
2020-04-02,"Aneurin Bevan University Health Board","C19_Con",175,"Confirmed"
2020-04-02,"Aneurin Bevan University Health Board","C19_Sus",57,"Suspected"
2020-04-02,"Aneurin Bevan University Health Board","NonC19",345,NA
2020-04-02,"Velindre University NHS Trust","All",11,NA
2020-04-02,"Velindre University NHS Trust","C19",11,"All"
2020-04-02,"Velindre University NHS Trust","C19_Con",10,"Confirmed"
2020-04-02,"Velindre University NHS Trust","C19_Sus",1,"Suspected"
2020-04-02,"Velindre University NHS Trust","NonC19",0,NA
2020-04-02,"Wales","All",3777,NA
2020-04-02,"Wales","C19",865,"All"
2020-04-02,"Wales","C19_Con",525,"Confirmed"
2020-04-02,"Wales","C19_Sus",340,"Suspected"
2020-04-02,"Wales","NonC19",2912,NA
2020-04-03,"Betsi Cadwaladr University Health Board","All",706,NA
2020-04-03,"Betsi Cadwaladr University Health Board","C19",99,"All"
2020-04-03,"Betsi Cadwaladr University Health Board","C19_Con",38,"Confirmed"
2020-04-03,"Betsi Cadwaladr University Health Board","C19_Sus",61,"Suspected"
2020-04-03,"Betsi Cadwaladr University Health Board","NonC19",607,NA
2020-04-03,"Hywel Dda University Health Board","All",371,NA
2020-04-03,"Hywel Dda University Health Board","C19",80,"All"
2020-04-03,"Hywel Dda University Health Board","C19_Con",40,"Confirmed"
2020-04-03,"Hywel Dda University Health Board","C19_Sus",40,"Suspected"
2020-04-03,"Hywel Dda University Health Board","NonC19",291,NA
2020-04-03,"Abertawe Bro Morgannwg University Health Board","All",667,NA
2020-04-03,"Abertawe Bro Morgannwg University Health Board","C19",149,"All"
2020-04-03,"Abertawe Bro Morgannwg University Health Board","C19_Con",72,"Confirmed"
2020-04-03,"Abertawe Bro Morgannwg University Health Board","C19_Sus",77,"Suspected"
2020-04-03,"Abertawe Bro Morgannwg University Health Board","NonC19",518,NA
2020-04-03,"Cardiff and Vale University Health Board","All",711,NA
2020-04-03,"Cardiff and Vale University Health Board","C19",183,"All"
2020-04-03,"Cardiff and Vale University Health Board","C19_Con",143,"Confirmed"
2020-04-03,"Cardiff and Vale University Health Board","C19_Sus",40,"Suspected"
2020-04-03,"Cardiff and Vale University Health Board","NonC19",528,NA
2020-04-03,"Cwm Taf University Health Board","All",596,NA
2020-04-03,"Cwm Taf University Health Board","C19",144,"All"
2020-04-03,"Cwm Taf University Health Board","C19_Con",82,"Confirmed"
2020-04-03,"Cwm Taf University Health Board","C19_Sus",62,"Suspected"
2020-04-03,"Cwm Taf University Health Board","NonC19",452,NA
2020-04-03,"Aneurin Bevan University Health Board","All",554,NA
2020-04-03,"Aneurin Bevan University Health Board","C19",244,"All"
2020-04-03,"Aneurin Bevan University Health Board","C19_Con",183,"Confirmed"
2020-04-03,"Aneurin Bevan University Health Board","C19_Sus",61,"Suspected"
2020-04-03,"Aneurin Bevan University Health Board","NonC19",310,NA
2020-04-03,"Velindre University NHS Trust","All",13,NA
2020-04-03,"Velindre University NHS Trust","C19",12,"All"
2020-04-03,"Velindre University NHS Trust","C19_Con",10,"Confirmed"
2020-04-03,"Velindre University NHS Trust","C19_Sus",2,"Suspected"
2020-04-03,"Velindre University NHS Trust","NonC19",1,NA
2020-04-03,"Wales","All",3618,NA
2020-04-03,"Wales","C19",911,"All"
2020-04-03,"Wales","C19_Con",568,"Confirmed"
2020-04-03,"Wales","C19_Sus",343,"Suspected"
2020-04-03,"Wales","NonC19",2707,NA
2020-04-04,"Betsi Cadwaladr University Health Board","All",724,NA
2020-04-04,"Betsi Cadwaladr University Health Board","C19",103,"All"
2020-04-04,"Betsi Cadwaladr University Health Board","C19_Con",46,"Confirmed"
2020-04-04,"Betsi Cadwaladr University Health Board","C19_Sus",57,"Suspected"
2020-04-04,"Betsi Cadwaladr University Health Board","NonC19",621,NA
2020-04-04,"Hywel Dda University Health Board","All",173,NA
2020-04-04,"Hywel Dda University Health Board","C19",64,"All"
2020-04-04,"Hywel Dda University Health Board","C19_Con",33,"Confirmed"
2020-04-04,"Hywel Dda University Health Board","C19_Sus",31,"Suspected"
2020-04-04,"Hywel Dda University Health Board","NonC19",109,NA
2020-04-04,"Abertawe Bro Morgannwg University Health Board","All",723,NA
2020-04-04,"Abertawe Bro Morgannwg University Health Board","C19",143,"All"
2020-04-04,"Abertawe Bro Morgannwg University Health Board","C19_Con",78,"Confirmed"
2020-04-04,"Abertawe Bro Morgannwg University Health Board","C19_Sus",65,"Suspected"
2020-04-04,"Abertawe Bro Morgannwg University Health Board","NonC19",580,NA
2020-04-04,"Cardiff and Vale University Health Board","All",662,NA
2020-04-04,"Cardiff and Vale University Health Board","C19",199,"All"
2020-04-04,"Cardiff and Vale University Health Board","C19_Con",147,"Confirmed"
2020-04-04,"Cardiff and Vale University Health Board","C19_Sus",52,"Suspected"
2020-04-04,"Cardiff and Vale University Health Board","NonC19",463,NA
2020-04-04,"Cwm Taf University Health Board","All",522,NA
2020-04-04,"Cwm Taf University Health Board","C19",146,"All"
2020-04-04,"Cwm Taf University Health Board","C19_Con",94,"Confirmed"
2020-04-04,"Cwm Taf University Health Board","C19_Sus",52,"Suspected"
2020-04-04,"Cwm Taf University Health Board","NonC19",376,NA
2020-04-04,"Aneurin Bevan University Health Board","All",548,NA
2020-04-04,"Aneurin Bevan University Health Board","C19",252,"All"
2020-04-04,"Aneurin Bevan University Health Board","C19_Con",190,"Confirmed"
2020-04-04,"Aneurin Bevan University Health Board","C19_Sus",62,"Suspected"
2020-04-04,"Aneurin Bevan University Health Board","NonC19",296,NA
2020-04-04,"Velindre University NHS Trust","All",12,NA
2020-04-04,"Velindre University NHS Trust","C19",8,"All"
2020-04-04,"Velindre University NHS Trust","C19_Con",8,"Confirmed"
2020-04-04,"Velindre University NHS Trust","C19_Sus",0,"Suspected"
2020-04-04,"Velindre University NHS Trust","NonC19",4,NA
2020-04-04,"Wales","All",3364,NA
2020-04-04,"Wales","C19",915,"All"
2020-04-04,"Wales","C19_Con",596,"Confirmed"
2020-04-04,"Wales","C19_Sus",319,"Suspected"
2020-04-04,"Wales","NonC19",2449,NA
2020-04-05,"Betsi Cadwaladr University Health Board","All",850,NA
2020-04-05,"Betsi Cadwaladr University Health Board","C19",120,"All"
2020-04-05,"Betsi Cadwaladr University Health Board","C19_Con",46,"Confirmed"
2020-04-05,"Betsi Cadwaladr University Health Board","C19_Sus",74,"Suspected"
2020-04-05,"Betsi Cadwaladr University Health Board","NonC19",730,NA
2020-04-05,"Hywel Dda University Health Board","All",222,NA
2020-04-05,"Hywel Dda University Health Board","C19",76,"All"
2020-04-05,"Hywel Dda University Health Board","C19_Con",33,"Confirmed"
2020-04-05,"Hywel Dda University Health Board","C19_Sus",43,"Suspected"
2020-04-05,"Hywel Dda University Health Board","NonC19",146,NA
2020-04-05,"Abertawe Bro Morgannwg University Health Board","All",706,NA
2020-04-05,"Abertawe Bro Morgannwg University Health Board","C19",173,"All"
2020-04-05,"Abertawe Bro Morgannwg University Health Board","C19_Con",105,"Confirmed"
2020-04-05,"Abertawe Bro Morgannwg University Health Board","C19_Sus",68,"Suspected"
2020-04-05,"Abertawe Bro Morgannwg University Health Board","NonC19",533,NA
2020-04-05,"Cardiff and Vale University Health Board","All",639,NA
2020-04-05,"Cardiff and Vale University Health Board","C19",191,"All"
2020-04-05,"Cardiff and Vale University Health Board","C19_Con",172,"Confirmed"
2020-04-05,"Cardiff and Vale University Health Board","C19_Sus",19,"Suspected"
2020-04-05,"Cardiff and Vale University Health Board","NonC19",448,NA
2020-04-05,"Cwm Taf University Health Board","All",585,NA
2020-04-05,"Cwm Taf University Health Board","C19",157,"All"
2020-04-05,"Cwm Taf University Health Board","C19_Con",113,"Confirmed"
2020-04-05,"Cwm Taf University Health Board","C19_Sus",44,"Suspected"
2020-04-05,"Cwm Taf University Health Board","NonC19",428,NA
2020-04-05,"Aneurin Bevan University Health Board","All",514,NA
2020-04-05,"Aneurin Bevan University Health Board","C19",267,"All"
2020-04-05,"Aneurin Bevan University Health Board","C19_Con",189,"Confirmed"
2020-04-05,"Aneurin Bevan University Health Board","C19_Sus",78,"Suspected"
2020-04-05,"Aneurin Bevan University Health Board","NonC19",247,NA
2020-04-05,"Velindre University NHS Trust","All",15,NA
2020-04-05,"Velindre University NHS Trust","C19",6,"All"
2020-04-05,"Velindre University NHS Trust","C19_Con",6,"Confirmed"
2020-04-05,"Velindre University NHS Trust","C19_Sus",0,"Suspected"
2020-04-05,"Velindre University NHS Trust","NonC19",9,NA
2020-04-05,"Wales","All",3531,NA
2020-04-05,"Wales","C19",990,"All"
2020-04-05,"Wales","C19_Con",664,"Confirmed"
2020-04-05,"Wales","C19_Sus",326,"Suspected"
2020-04-05,"Wales","NonC19",2541,NA
2020-04-06,"Betsi Cadwaladr University Health Board","All",839,NA
2020-04-06,"Betsi Cadwaladr University Health Board","C19",116,"All"
2020-04-06,"Betsi Cadwaladr University Health Board","C19_Con",64,"Confirmed"
2020-04-06,"Betsi Cadwaladr University Health Board","C19_Sus",52,"Suspected"
2020-04-06,"Betsi Cadwaladr University Health Board","NonC19",723,NA
2020-04-06,"Hywel Dda University Health Board","All",311,NA
2020-04-06,"Hywel Dda University Health Board","C19",89,"All"
2020-04-06,"Hywel Dda University Health Board","C19_Con",41,"Confirmed"
2020-04-06,"Hywel Dda University Health Board","C19_Sus",48,"Suspected"
2020-04-06,"Hywel Dda University Health Board","NonC19",222,NA
2020-04-06,"Abertawe Bro Morgannwg University Health Board","All",591,NA
2020-04-06,"Abertawe Bro Morgannwg University Health Board","C19",175,"All"
2020-04-06,"Abertawe Bro Morgannwg University Health Board","C19_Con",112,"Confirmed"
2020-04-06,"Abertawe Bro Morgannwg University Health Board","C19_Sus",63,"Suspected"
2020-04-06,"Abertawe Bro Morgannwg University Health Board","NonC19",416,NA
2020-04-06,"Cardiff and Vale University Health Board","All",681,NA
2020-04-06,"Cardiff and Vale University Health Board","C19",212,"All"
2020-04-06,"Cardiff and Vale University Health Board","C19_Con",185,"Confirmed"
2020-04-06,"Cardiff and Vale University Health Board","C19_Sus",27,"Suspected"
2020-04-06,"Cardiff and Vale University Health Board","NonC19",469,NA
2020-04-06,"Cwm Taf University Health Board","All",559,NA
2020-04-06,"Cwm Taf University Health Board","C19",182,"All"
2020-04-06,"Cwm Taf University Health Board","C19_Con",133,"Confirmed"
2020-04-06,"Cwm Taf University Health Board","C19_Sus",49,"Suspected"
2020-04-06,"Cwm Taf University Health Board","NonC19",377,NA
2020-04-06,"Aneurin Bevan University Health Board","All",547,NA
2020-04-06,"Aneurin Bevan University Health Board","C19",263,"All"
2020-04-06,"Aneurin Bevan University Health Board","C19_Con",189,"Confirmed"
2020-04-06,"Aneurin Bevan University Health Board","C19_Sus",74,"Suspected"
2020-04-06,"Aneurin Bevan University Health Board","NonC19",284,NA
2020-04-06,"Velindre University NHS Trust","All",12,NA
2020-04-06,"Velindre University NHS Trust","C19",7,"All"
2020-04-06,"Velindre University NHS Trust","C19_Con",7,"Confirmed"
2020-04-06,"Velindre University NHS Trust","C19_Sus",0,"Suspected"
2020-04-06,"Velindre University NHS Trust","NonC19",5,NA
2020-04-06,"Wales","All",3540,NA
2020-04-06,"Wales","C19",1044,"All"
2020-04-06,"Wales","C19_Con",731,"Confirmed"
2020-04-06,"Wales","C19_Sus",313,"Suspected"
2020-04-06,"Wales","NonC19",2496,NA
2020-04-07,"Betsi Cadwaladr University Health Board","All",747,NA
2020-04-07,"Betsi Cadwaladr University Health Board","C19",122,"All"
2020-04-07,"Betsi Cadwaladr University Health Board","C19_Con",60,"Confirmed"
2020-04-07,"Betsi Cadwaladr University Health Board","C19_Sus",62,"Suspected"
2020-04-07,"Betsi Cadwaladr University Health Board","NonC19",625,NA
2020-04-07,"Hywel Dda University Health Board","All",362,NA
2020-04-07,"Hywel Dda University Health Board","C19",88,"All"
2020-04-07,"Hywel Dda University Health Board","C19_Con",37,"Confirmed"
2020-04-07,"Hywel Dda University Health Board","C19_Sus",51,"Suspected"
2020-04-07,"Hywel Dda University Health Board","NonC19",274,NA
2020-04-07,"Abertawe Bro Morgannwg University Health Board","All",597,NA
2020-04-07,"Abertawe Bro Morgannwg University Health Board","C19",190,"All"
2020-04-07,"Abertawe Bro Morgannwg University Health Board","C19_Con",138,"Confirmed"
2020-04-07,"Abertawe Bro Morgannwg University Health Board","C19_Sus",52,"Suspected"
2020-04-07,"Abertawe Bro Morgannwg University Health Board","NonC19",407,NA
2020-04-07,"Cardiff and Vale University Health Board","All",684,NA
2020-04-07,"Cardiff and Vale University Health Board","C19",213,"All"
2020-04-07,"Cardiff and Vale University Health Board","C19_Con",182,"Confirmed"
2020-04-07,"Cardiff and Vale University Health Board","C19_Sus",31,"Suspected"
2020-04-07,"Cardiff and Vale University Health Board","NonC19",471,NA
2020-04-07,"Cwm Taf University Health Board","All",565,NA
2020-04-07,"Cwm Taf University Health Board","C19",189,"All"
2020-04-07,"Cwm Taf University Health Board","C19_Con",138,"Confirmed"
2020-04-07,"Cwm Taf University Health Board","C19_Sus",51,"Suspected"
2020-04-07,"Cwm Taf University Health Board","NonC19",376,NA
2020-04-07,"Aneurin Bevan University Health Board","All",534,NA
2020-04-07,"Aneurin Bevan University Health Board","C19",245,"All"
2020-04-07,"Aneurin Bevan University Health Board","C19_Con",176,"Confirmed"
2020-04-07,"Aneurin Bevan University Health Board","C19_Sus",69,"Suspected"
2020-04-07,"Aneurin Bevan University Health Board","NonC19",289,NA
2020-04-07,"Velindre University NHS Trust","All",13,NA
2020-04-07,"Velindre University NHS Trust","C19",7,"All"
2020-04-07,"Velindre University NHS Trust","C19_Con",7,"Confirmed"
2020-04-07,"Velindre University NHS Trust","C19_Sus",0,"Suspected"
2020-04-07,"Velindre University NHS Trust","NonC19",6,NA
2020-04-07,"Wales","All",3502,NA
2020-04-07,"Wales","C19",1054,"All"
2020-04-07,"Wales","C19_Con",738,"Confirmed"
2020-04-07,"Wales","C19_Sus",316,"Suspected"
2020-04-07,"Wales","NonC19",2448,NA
2020-04-08,"Betsi Cadwaladr University Health Board","All",698,NA
2020-04-08,"Betsi Cadwaladr University Health Board","C19",139,"All"
2020-04-08,"Betsi Cadwaladr University Health Board","C19_Con",66,"Confirmed"
2020-04-08,"Betsi Cadwaladr University Health Board","C19_Sus",73,"Suspected"
2020-04-08,"Betsi Cadwaladr University Health Board","NonC19",559,NA
2020-04-08,"Hywel Dda University Health Board","All",368,NA
2020-04-08,"Hywel Dda University Health Board","C19",91,"All"
2020-04-08,"Hywel Dda University Health Board","C19_Con",39,"Confirmed"
2020-04-08,"Hywel Dda University Health Board","C19_Sus",52,"Suspected"
2020-04-08,"Hywel Dda University Health Board","NonC19",277,NA
2020-04-08,"Abertawe Bro Morgannwg University Health Board","All",549,NA
2020-04-08,"Abertawe Bro Morgannwg University Health Board","C19",206,"All"
2020-04-08,"Abertawe Bro Morgannwg University Health Board","C19_Con",151,"Confirmed"
2020-04-08,"Abertawe Bro Morgannwg University Health Board","C19_Sus",55,"Suspected"
2020-04-08,"Abertawe Bro Morgannwg University Health Board","NonC19",343,NA
2020-04-08,"Cardiff and Vale University Health Board","All",709,NA
2020-04-08,"Cardiff and Vale University Health Board","C19",233,"All"
2020-04-08,"Cardiff and Vale University Health Board","C19_Con",201,"Confirmed"
2020-04-08,"Cardiff and Vale University Health Board","C19_Sus",32,"Suspected"
2020-04-08,"Cardiff and Vale University Health Board","NonC19",476,NA
2020-04-08,"Cwm Taf University Health Board","All",571,NA
2020-04-08,"Cwm Taf University Health Board","C19",204,"All"
2020-04-08,"Cwm Taf University Health Board","C19_Con",154,"Confirmed"
2020-04-08,"Cwm Taf University Health Board","C19_Sus",50,"Suspected"
2020-04-08,"Cwm Taf University Health Board","NonC19",367,NA
2020-04-08,"Aneurin Bevan University Health Board","All",565,NA
2020-04-08,"Aneurin Bevan University Health Board","C19",280,"All"
2020-04-08,"Aneurin Bevan University Health Board","C19_Con",199,"Confirmed"
2020-04-08,"Aneurin Bevan University Health Board","C19_Sus",81,"Suspected"
2020-04-08,"Aneurin Bevan University Health Board","NonC19",285,NA
2020-04-08,"Velindre University NHS Trust","All",14,NA
2020-04-08,"Velindre University NHS Trust","C19",7,"All"
2020-04-08,"Velindre University NHS Trust","C19_Con",6,"Confirmed"
2020-04-08,"Velindre University NHS Trust","C19_Sus",1,"Suspected"
2020-04-08,"Velindre University NHS Trust","NonC19",7,NA
2020-04-08,"Wales","All",3474,NA
2020-04-08,"Wales","C19",1160,"All"
2020-04-08,"Wales","C19_Con",816,"Confirmed"
2020-04-08,"Wales","C19_Sus",344,"Suspected"
2020-04-08,"Wales","NonC19",2314,NA
2020-04-09,"Betsi Cadwaladr University Health Board","All",692,NA
2020-04-09,"Betsi Cadwaladr University Health Board","C19",144,"All"
2020-04-09,"Betsi Cadwaladr University Health Board","C19_Con",61,"Confirmed"
2020-04-09,"Betsi Cadwaladr University Health Board","C19_Sus",83,"Suspected"
2020-04-09,"Betsi Cadwaladr University Health Board","NonC19",548,NA
2020-04-09,"Hywel Dda University Health Board","All",364,NA
2020-04-09,"Hywel Dda University Health Board","C19",94,"All"
2020-04-09,"Hywel Dda University Health Board","C19_Con",46,"Confirmed"
2020-04-09,"Hywel Dda University Health Board","C19_Sus",48,"Suspected"
2020-04-09,"Hywel Dda University Health Board","NonC19",270,NA
2020-04-09,"Abertawe Bro Morgannwg University Health Board","All",588,NA
2020-04-09,"Abertawe Bro Morgannwg University Health Board","C19",223,"All"
2020-04-09,"Abertawe Bro Morgannwg University Health Board","C19_Con",158,"Confirmed"
2020-04-09,"Abertawe Bro Morgannwg University Health Board","C19_Sus",65,"Suspected"
2020-04-09,"Abertawe Bro Morgannwg University Health Board","NonC19",365,NA
2020-04-09,"Cardiff and Vale University Health Board","All",671,NA
2020-04-09,"Cardiff and Vale University Health Board","C19",227,"All"
2020-04-09,"Cardiff and Vale University Health Board","C19_Con",185,"Confirmed"
2020-04-09,"Cardiff and Vale University Health Board","C19_Sus",42,"Suspected"
2020-04-09,"Cardiff and Vale University Health Board","NonC19",444,NA
2020-04-09,"Cwm Taf University Health Board","All",549,NA
2020-04-09,"Cwm Taf University Health Board","C19",187,"All"
2020-04-09,"Cwm Taf University Health Board","C19_Con",141,"Confirmed"
2020-04-09,"Cwm Taf University Health Board","C19_Sus",46,"Suspected"
2020-04-09,"Cwm Taf University Health Board","NonC19",362,NA
2020-04-09,"Aneurin Bevan University Health Board","All",556,NA
2020-04-09,"Aneurin Bevan University Health Board","C19",287,"All"
2020-04-09,"Aneurin Bevan University Health Board","C19_Con",199,"Confirmed"
2020-04-09,"Aneurin Bevan University Health Board","C19_Sus",88,"Suspected"
2020-04-09,"Aneurin Bevan University Health Board","NonC19",269,NA
2020-04-09,"Velindre University NHS Trust","All",11,NA
2020-04-09,"Velindre University NHS Trust","C19",6,"All"
2020-04-09,"Velindre University NHS Trust","C19_Con",5,"Confirmed"
2020-04-09,"Velindre University NHS Trust","C19_Sus",1,"Suspected"
2020-04-09,"Velindre University NHS Trust","NonC19",5,NA
2020-04-09,"Wales","All",3431,NA
2020-04-09,"Wales","C19",1168,"All"
2020-04-09,"Wales","C19_Con",795,"Confirmed"
2020-04-09,"Wales","C19_Sus",373,"Suspected"
2020-04-09,"Wales","NonC19",2263,NA
2020-04-10,"Betsi Cadwaladr University Health Board","All",682,NA
2020-04-10,"Betsi Cadwaladr University Health Board","C19",153,"All"
2020-04-10,"Betsi Cadwaladr University Health Board","C19_Con",81,"Confirmed"
2020-04-10,"Betsi Cadwaladr University Health Board","C19_Sus",72,"Suspected"
2020-04-10,"Betsi Cadwaladr University Health Board","NonC19",529,NA
2020-04-10,"Hywel Dda University Health Board","All",388,NA
2020-04-10,"Hywel Dda University Health Board","C19",111,"All"
2020-04-10,"Hywel Dda University Health Board","C19_Con",47,"Confirmed"
2020-04-10,"Hywel Dda University Health Board","C19_Sus",64,"Suspected"
2020-04-10,"Hywel Dda University Health Board","NonC19",277,NA
2020-04-10,"Abertawe Bro Morgannwg University Health Board","All",638,NA
2020-04-10,"Abertawe Bro Morgannwg University Health Board","C19",259,"All"
2020-04-10,"Abertawe Bro Morgannwg University Health Board","C19_Con",189,"Confirmed"
2020-04-10,"Abertawe Bro Morgannwg University Health Board","C19_Sus",70,"Suspected"
2020-04-10,"Abertawe Bro Morgannwg University Health Board","NonC19",379,NA
2020-04-10,"Cardiff and Vale University Health Board","All",665,NA
2020-04-10,"Cardiff and Vale University Health Board","C19",227,"All"
2020-04-10,"Cardiff and Vale University Health Board","C19_Con",168,"Confirmed"
2020-04-10,"Cardiff and Vale University Health Board","C19_Sus",59,"Suspected"
2020-04-10,"Cardiff and Vale University Health Board","NonC19",438,NA
2020-04-10,"Cwm Taf University Health Board","All",517,NA
2020-04-10,"Cwm Taf University Health Board","C19",183,"All"
2020-04-10,"Cwm Taf University Health Board","C19_Con",147,"Confirmed"
2020-04-10,"Cwm Taf University Health Board","C19_Sus",36,"Suspected"
2020-04-10,"Cwm Taf University Health Board","NonC19",334,NA
2020-04-10,"Aneurin Bevan University Health Board","All",540,NA
2020-04-10,"Aneurin Bevan University Health Board","C19",286,"All"
2020-04-10,"Aneurin Bevan University Health Board","C19_Con",198,"Confirmed"
2020-04-10,"Aneurin Bevan University Health Board","C19_Sus",88,"Suspected"
2020-04-10,"Aneurin Bevan University Health Board","NonC19",254,NA
2020-04-10,"Velindre University NHS Trust","All",8,NA
2020-04-10,"Velindre University NHS Trust","C19",3,"All"
2020-04-10,"Velindre University NHS Trust","C19_Con",3,"Confirmed"
2020-04-10,"Velindre University NHS Trust","C19_Sus",0,"Suspected"
2020-04-10,"Velindre University NHS Trust","NonC19",5,NA
2020-04-10,"Wales","All",3438,NA
2020-04-10,"Wales","C19",1222,"All"
2020-04-10,"Wales","C19_Con",833,"Confirmed"
2020-04-10,"Wales","C19_Sus",389,"Suspected"
2020-04-10,"Wales","NonC19",2216,NA
2020-04-11,"Betsi Cadwaladr University Health Board","All",696,NA
2020-04-11,"Betsi Cadwaladr University Health Board","C19",154,"All"
2020-04-11,"Betsi Cadwaladr University Health Board","C19_Con",92,"Confirmed"
2020-04-11,"Betsi Cadwaladr University Health Board","C19_Sus",62,"Suspected"
2020-04-11,"Betsi Cadwaladr University Health Board","NonC19",542,NA
2020-04-11,"Hywel Dda University Health Board","All",399,NA
2020-04-11,"Hywel Dda University Health Board","C19",109,"All"
2020-04-11,"Hywel Dda University Health Board","C19_Con",51,"Confirmed"
2020-04-11,"Hywel Dda University Health Board","C19_Sus",58,"Suspected"
2020-04-11,"Hywel Dda University Health Board","NonC19",290,NA
2020-04-11,"Abertawe Bro Morgannwg University Health Board","All",497,NA
2020-04-11,"Abertawe Bro Morgannwg University Health Board","C19",207,"All"
2020-04-11,"Abertawe Bro Morgannwg University Health Board","C19_Con",157,"Confirmed"
2020-04-11,"Abertawe Bro Morgannwg University Health Board","C19_Sus",50,"Suspected"
2020-04-11,"Abertawe Bro Morgannwg University Health Board","NonC19",290,NA
2020-04-11,"Cardiff and Vale University Health Board","All",669,NA
2020-04-11,"Cardiff and Vale University Health Board","C19",242,"All"
2020-04-11,"Cardiff and Vale University Health Board","C19_Con",212,"Confirmed"
