"date","health_board","lockdown_status","hosp_type","covid_status","count"
2020-04-16,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,398
2020-04-16,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",251
2020-04-16,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",169
2020-04-16,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",82
2020-04-16,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,147
2020-04-17,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,577
2020-04-17,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",232
2020-04-17,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",165
2020-04-17,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",67
2020-04-17,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,345
2020-04-18,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,570
2020-04-18,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",232
2020-04-18,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",174
2020-04-18,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",58
2020-04-18,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,338
2020-04-19,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,570
2020-04-19,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",220
2020-04-19,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",163
2020-04-19,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",57
2020-04-19,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,350
2020-04-20,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,590
2020-04-20,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",229
2020-04-20,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",168
2020-04-20,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",61
2020-04-20,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,361
2020-04-21,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,550
2020-04-21,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",220
2020-04-21,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",159
2020-04-21,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",61
2020-04-21,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,330
2020-04-22,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,560
2020-04-22,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",214
2020-04-22,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",148
2020-04-22,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",66
2020-04-22,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,346
2020-04-23,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,507
2020-04-23,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",196
2020-04-23,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",148
2020-04-23,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",48
2020-04-23,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,311
2020-04-24,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,513
2020-04-24,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",206
2020-04-24,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",149
2020-04-24,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",57
2020-04-24,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,307
2020-04-25,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,549
2020-04-25,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",195
2020-04-25,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",144
2020-04-25,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",51
2020-04-25,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,354
2020-04-26,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,566
2020-04-26,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",196
2020-04-26,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",141
2020-04-26,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",55
2020-04-26,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,370
2020-04-27,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,529
2020-04-27,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",184
2020-04-27,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",148
2020-04-27,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",36
2020-04-27,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,345
2020-04-28,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,489
2020-04-28,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",170
2020-04-28,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",125
2020-04-28,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",45
2020-04-28,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,319
2020-04-29,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,541
2020-04-29,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",165
2020-04-29,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",110
2020-04-29,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",55
2020-04-29,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,376
2020-04-30,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,607
2020-04-30,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",175
2020-04-30,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",114
2020-04-30,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",61
2020-04-30,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,432
2020-05-01,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,583
2020-05-01,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",163
2020-05-01,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",101
2020-05-01,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",62
2020-05-01,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,420
2020-05-02,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,544
2020-05-02,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",157
2020-05-02,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",103
2020-05-02,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",54
2020-05-02,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,387
2020-05-03,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,518
2020-05-03,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",157
2020-05-03,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",99
2020-05-03,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",58
2020-05-03,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,361
2020-05-04,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,582
2020-05-04,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",152
2020-05-04,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",97
2020-05-04,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",55
2020-05-04,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,430
2020-05-05,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,604
2020-05-05,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",139
2020-05-05,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",93
2020-05-05,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",46
2020-05-05,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,465
2020-05-06,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,579
2020-05-06,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",128
2020-05-06,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",87
2020-05-06,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",41
2020-05-06,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,451
2020-05-07,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,578
2020-05-07,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",105
2020-05-07,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",83
2020-05-07,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",22
2020-05-07,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,473
2020-05-08,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,559
2020-05-08,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",93
2020-05-08,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",60
2020-05-08,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",33
2020-05-08,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,466
2020-05-09,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,593
2020-05-09,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",120
2020-05-09,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",76
2020-05-09,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",44
2020-05-09,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,473
2020-05-10,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,607
2020-05-10,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",107
2020-05-10,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",76
2020-05-10,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",31
2020-05-10,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,500
2020-05-11,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,640
2020-05-11,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",103
2020-05-11,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",76
2020-05-11,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",27
2020-05-11,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,537
2020-05-12,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,615
2020-05-12,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",85
2020-05-12,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",50
2020-05-12,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",35
2020-05-12,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,530
2020-05-13,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,598
2020-05-13,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",69
2020-05-13,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",44
2020-05-13,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",25
2020-05-13,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,529
2020-05-14,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,627
2020-05-14,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",67
2020-05-14,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",36
2020-05-14,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",31
2020-05-14,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,560
2020-05-15,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,589
2020-05-15,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",56
2020-05-15,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",31
2020-05-15,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",25
2020-05-15,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,533
2020-05-16,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,574
2020-05-16,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",60
2020-05-16,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",30
2020-05-16,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",30
2020-05-16,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,514
2020-05-17,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,578
2020-05-17,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",62
2020-05-17,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",31
2020-05-17,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",31
2020-05-17,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,516
2020-05-18,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,587
2020-05-18,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",62
2020-05-18,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",23
2020-05-18,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",39
2020-05-18,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,525
2020-05-19,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,588
2020-05-19,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",54
2020-05-19,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",18
2020-05-19,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",36
2020-05-19,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,534
2020-05-20,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,595
2020-05-20,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",31
2020-05-20,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",14
2020-05-20,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",17
2020-05-20,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,564
2020-05-21,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,610
2020-05-21,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",57
2020-05-21,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",19
2020-05-21,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",38
2020-05-21,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,553
2020-05-22,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,573
2020-05-22,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",62
2020-05-22,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",18
2020-05-22,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",44
2020-05-22,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,511
2020-05-23,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,555
2020-05-23,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",60
2020-05-23,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",15
2020-05-23,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",45
2020-05-23,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,495
2020-05-24,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,578
2020-05-24,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",44
2020-05-24,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",14
2020-05-24,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",30
2020-05-24,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,534
2020-05-25,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,592
2020-05-25,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",35
2020-05-25,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",11
2020-05-25,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",24
2020-05-25,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,557
2020-05-26,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,615
2020-05-26,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",76
2020-05-26,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",12
2020-05-26,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Rec","Recovering",42
2020-05-26,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",22
2020-05-26,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,539
2020-05-27,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,628
2020-05-27,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",88
2020-05-27,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",11
2020-05-27,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Rec","Recovering",47
2020-05-27,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",30
2020-05-27,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,540
2020-05-28,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,632
2020-05-28,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",79
2020-05-28,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",7
2020-05-28,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Rec","Recovering",53
2020-05-28,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",19
2020-05-28,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,553
2020-05-29,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,660
2020-05-29,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19","All",95
2020-05-29,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Con","Confirmed",6
2020-05-29,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Rec","Recovering",65
2020-05-29,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19_Sus","Suspected",24
2020-05-29,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",NA,565
2020-05-30,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",NA,679
