"date","health_board","admission_type","count"
2020-04-03,"Velindre University NHS Trust","All",2
2020-04-03,"Wales","C19",110
2020-04-03,"Wales","NonC19",573
2020-04-03,"Wales","All",683
2020-04-04,"Betsi Cadwaladr University Health Board","C19",30
2020-04-04,"Betsi Cadwaladr University Health Board","NonC19",87
2020-04-04,"Betsi Cadwaladr University Health Board","All",117
2020-04-04,"Hywel Dda University Health Board","C19",7
2020-04-04,"Hywel Dda University Health Board","NonC19",39
2020-04-04,"Hywel Dda University Health Board","All",46
2020-04-04,"Abertawe Bro Morgannwg University Health Board","C19",24
2020-04-04,"Abertawe Bro Morgannwg University Health Board","NonC19",70
2020-04-04,"Abertawe Bro Morgannwg University Health Board","All",94
2020-04-04,"Cardiff and Vale University Health Board","C19",30
2020-04-04,"Cardiff and Vale University Health Board","NonC19",139
2020-04-04,"Cardiff and Vale University Health Board","All",169
2020-04-04,"Cwm Taf University Health Board","C19",30
2020-04-04,"Cwm Taf University Health Board","NonC19",52
2020-04-04,"Cwm Taf University Health Board","All",82
2020-04-04,"Aneurin Bevan University Health Board","C19",13
2020-04-04,"Aneurin Bevan University Health Board","NonC19",90
2020-04-04,"Aneurin Bevan University Health Board","All",103
2020-04-04,"Velindre University NHS Trust","C19",0
2020-04-04,"Velindre University NHS Trust","NonC19",5
2020-04-04,"Velindre University NHS Trust","All",5
2020-04-04,"Wales","C19",134
2020-04-04,"Wales","NonC19",482
2020-04-04,"Wales","All",616
2020-04-05,"Betsi Cadwaladr University Health Board","C19",23
2020-04-05,"Betsi Cadwaladr University Health Board","NonC19",55
2020-04-05,"Betsi Cadwaladr University Health Board","All",78
2020-04-05,"Hywel Dda University Health Board","C19",15
2020-04-05,"Hywel Dda University Health Board","NonC19",23
2020-04-05,"Hywel Dda University Health Board","All",38
2020-04-05,"Abertawe Bro Morgannwg University Health Board","C19",15
2020-04-05,"Abertawe Bro Morgannwg University Health Board","NonC19",34
2020-04-05,"Abertawe Bro Morgannwg University Health Board","All",49
2020-04-05,"Cardiff and Vale University Health Board","C19",16
2020-04-05,"Cardiff and Vale University Health Board","NonC19",86
2020-04-05,"Cardiff and Vale University Health Board","All",102
2020-04-05,"Cwm Taf University Health Board","C19",35
2020-04-05,"Cwm Taf University Health Board","NonC19",20
2020-04-05,"Cwm Taf University Health Board","All",55
2020-04-05,"Aneurin Bevan University Health Board","C19",30
2020-04-05,"Aneurin Bevan University Health Board","NonC19",93
2020-04-05,"Aneurin Bevan University Health Board","All",123
2020-04-05,"Velindre University NHS Trust","C19",0
2020-04-05,"Velindre University NHS Trust","NonC19",7
2020-04-05,"Velindre University NHS Trust","All",7
2020-04-05,"Wales","C19",134
2020-04-05,"Wales","NonC19",318
2020-04-05,"Wales","All",452
2020-04-06,"Betsi Cadwaladr University Health Board","C19",19
2020-04-06,"Betsi Cadwaladr University Health Board","NonC19",82
2020-04-06,"Betsi Cadwaladr University Health Board","All",101
2020-04-06,"Hywel Dda University Health Board","C19",17
2020-04-06,"Hywel Dda University Health Board","NonC19",27
2020-04-06,"Hywel Dda University Health Board","All",44
2020-04-06,"Abertawe Bro Morgannwg University Health Board","C19",17
2020-04-06,"Abertawe Bro Morgannwg University Health Board","NonC19",38
2020-04-06,"Abertawe Bro Morgannwg University Health Board","All",55
2020-04-06,"Cardiff and Vale University Health Board","C19",14
2020-04-06,"Cardiff and Vale University Health Board","NonC19",96
2020-04-06,"Cardiff and Vale University Health Board","All",110
2020-04-06,"Cwm Taf University Health Board","C19",29
2020-04-06,"Cwm Taf University Health Board","NonC19",60
2020-04-06,"Cwm Taf University Health Board","All",89
2020-04-06,"Aneurin Bevan University Health Board","C19",27
2020-04-06,"Aneurin Bevan University Health Board","NonC19",98
2020-04-06,"Aneurin Bevan University Health Board","All",125
2020-04-06,"Velindre University NHS Trust","C19",0
2020-04-06,"Velindre University NHS Trust","NonC19",0
2020-04-06,"Velindre University NHS Trust","All",0
2020-04-06,"Wales","C19",123
2020-04-06,"Wales","NonC19",401
2020-04-06,"Wales","All",524
2020-04-07,"Betsi Cadwaladr University Health Board","C19",28
2020-04-07,"Betsi Cadwaladr University Health Board","NonC19",99
2020-04-07,"Betsi Cadwaladr University Health Board","All",127
2020-04-07,"Hywel Dda University Health Board","C19",14
2020-04-07,"Hywel Dda University Health Board","NonC19",64
2020-04-07,"Hywel Dda University Health Board","All",78
2020-04-07,"Abertawe Bro Morgannwg University Health Board","C19",27
2020-04-07,"Abertawe Bro Morgannwg University Health Board","NonC19",39
2020-04-07,"Abertawe Bro Morgannwg University Health Board","All",66
2020-04-07,"Cardiff and Vale University Health Board","C19",22
2020-04-07,"Cardiff and Vale University Health Board","NonC19",153
2020-04-07,"Cardiff and Vale University Health Board","All",175
2020-04-07,"Cwm Taf University Health Board","C19",41
2020-04-07,"Cwm Taf University Health Board","NonC19",48
2020-04-07,"Cwm Taf University Health Board","All",89
2020-04-07,"Aneurin Bevan University Health Board","C19",63
2020-04-07,"Aneurin Bevan University Health Board","NonC19",167
2020-04-07,"Aneurin Bevan University Health Board","All",230
2020-04-07,"Velindre University NHS Trust","C19",1
2020-04-07,"Velindre University NHS Trust","NonC19",4
2020-04-07,"Velindre University NHS Trust","All",5
2020-04-07,"Wales","C19",196
2020-04-07,"Wales","NonC19",574
2020-04-07,"Wales","All",770
2020-04-08,"Betsi Cadwaladr University Health Board","C19",32
2020-04-08,"Betsi Cadwaladr University Health Board","NonC19",91
2020-04-08,"Betsi Cadwaladr University Health Board","All",123
2020-04-08,"Hywel Dda University Health Board","C19",15
2020-04-08,"Hywel Dda University Health Board","NonC19",72
2020-04-08,"Hywel Dda University Health Board","All",87
2020-04-08,"Abertawe Bro Morgannwg University Health Board","C19",36
2020-04-08,"Abertawe Bro Morgannwg University Health Board","NonC19",27
2020-04-08,"Abertawe Bro Morgannwg University Health Board","All",63
2020-04-08,"Cardiff and Vale University Health Board","C19",26
2020-04-08,"Cardiff and Vale University Health Board","NonC19",184
2020-04-08,"Cardiff and Vale University Health Board","All",210
2020-04-08,"Cwm Taf University Health Board","C19",25
2020-04-08,"Cwm Taf University Health Board","NonC19",55
2020-04-08,"Cwm Taf University Health Board","All",80
2020-04-08,"Aneurin Bevan University Health Board","C19",24
2020-04-08,"Aneurin Bevan University Health Board","NonC19",151
2020-04-08,"Aneurin Bevan University Health Board","All",175
2020-04-08,"Velindre University NHS Trust","C19",0
2020-04-08,"Velindre University NHS Trust","NonC19",4
2020-04-08,"Velindre University NHS Trust","All",4
2020-04-08,"Wales","C19",158
2020-04-08,"Wales","NonC19",584
2020-04-08,"Wales","All",742
2020-04-09,"Betsi Cadwaladr University Health Board","C19",16
2020-04-09,"Betsi Cadwaladr University Health Board","NonC19",96
2020-04-09,"Betsi Cadwaladr University Health Board","All",112
2020-04-09,"Hywel Dda University Health Board","C19",14
2020-04-09,"Hywel Dda University Health Board","NonC19",80
2020-04-09,"Hywel Dda University Health Board","All",94
2020-04-09,"Abertawe Bro Morgannwg University Health Board","C19",32
2020-04-09,"Abertawe Bro Morgannwg University Health Board","NonC19",49
2020-04-09,"Abertawe Bro Morgannwg University Health Board","All",81
2020-04-09,"Cardiff and Vale University Health Board","C19",21
2020-04-09,"Cardiff and Vale University Health Board","NonC19",140
2020-04-09,"Cardiff and Vale University Health Board","All",161
2020-04-09,"Cwm Taf University Health Board","C19",25
2020-04-09,"Cwm Taf University Health Board","NonC19",63
2020-04-09,"Cwm Taf University Health Board","All",88
2020-04-09,"Aneurin Bevan University Health Board","C19",18
2020-04-09,"Aneurin Bevan University Health Board","NonC19",136
2020-04-09,"Aneurin Bevan University Health Board","All",154
2020-04-09,"Velindre University NHS Trust","C19",0
2020-04-09,"Velindre University NHS Trust","NonC19",9
2020-04-09,"Velindre University NHS Trust","All",9
2020-04-09,"Wales","C19",126
2020-04-09,"Wales","NonC19",573
2020-04-09,"Wales","All",699
2020-04-10,"Betsi Cadwaladr University Health Board","C19",16
2020-04-10,"Betsi Cadwaladr University Health Board","NonC19",113
2020-04-10,"Betsi Cadwaladr University Health Board","All",129
2020-04-10,"Hywel Dda University Health Board","C19",16
2020-04-10,"Hywel Dda University Health Board","NonC19",57
2020-04-10,"Hywel Dda University Health Board","All",73
2020-04-10,"Abertawe Bro Morgannwg University Health Board","C19",19
2020-04-10,"Abertawe Bro Morgannwg University Health Board","NonC19",21
2020-04-10,"Abertawe Bro Morgannwg University Health Board","All",40
2020-04-10,"Cardiff and Vale University Health Board","C19",28
2020-04-10,"Cardiff and Vale University Health Board","NonC19",117
2020-04-10,"Cardiff and Vale University Health Board","All",145
2020-04-10,"Cwm Taf University Health Board","C19",23
2020-04-10,"Cwm Taf University Health Board","NonC19",57
2020-04-10,"Cwm Taf University Health Board","All",80
2020-04-10,"Aneurin Bevan University Health Board","C19",27
2020-04-10,"Aneurin Bevan University Health Board","NonC19",105
2020-04-10,"Aneurin Bevan University Health Board","All",132
2020-04-10,"Velindre University NHS Trust","C19",0
2020-04-10,"Velindre University NHS Trust","NonC19",4
2020-04-10,"Velindre University NHS Trust","All",4
2020-04-10,"Wales","C19",129
2020-04-10,"Wales","NonC19",474
2020-04-10,"Wales","All",603
2020-04-11,"Betsi Cadwaladr University Health Board","C19",12
2020-04-11,"Betsi Cadwaladr University Health Board","NonC19",55
2020-04-11,"Betsi Cadwaladr University Health Board","All",67
2020-04-11,"Hywel Dda University Health Board","C19",19
2020-04-11,"Hywel Dda University Health Board","NonC19",49
2020-04-11,"Hywel Dda University Health Board","All",68
2020-04-11,"Abertawe Bro Morgannwg University Health Board","C19",11
2020-04-11,"Abertawe Bro Morgannwg University Health Board","NonC19",42
2020-04-11,"Abertawe Bro Morgannwg University Health Board","All",53
2020-04-11,"Cardiff and Vale University Health Board","C19",18
2020-04-11,"Cardiff and Vale University Health Board","NonC19",106
2020-04-11,"Cardiff and Vale University Health Board","All",124
2020-04-11,"Cwm Taf University Health Board","C19",13
2020-04-11,"Cwm Taf University Health Board","NonC19",52
2020-04-11,"Cwm Taf University Health Board","All",65
2020-04-11,"Aneurin Bevan University Health Board","C19",33
2020-04-11,"Aneurin Bevan University Health Board","NonC19",90
2020-04-11,"Aneurin Bevan University Health Board","All",123
2020-04-11,"Velindre University NHS Trust","C19",0
2020-04-11,"Velindre University NHS Trust","NonC19",6
2020-04-11,"Velindre University NHS Trust","All",6
2020-04-11,"Wales","C19",106
2020-04-11,"Wales","NonC19",400
2020-04-11,"Wales","All",506
2020-04-12,"Betsi Cadwaladr University Health Board","C19",36
2020-04-12,"Betsi Cadwaladr University Health Board","NonC19",51
2020-04-12,"Betsi Cadwaladr University Health Board","All",87
2020-04-12,"Hywel Dda University Health Board","C19",17
2020-04-12,"Hywel Dda University Health Board","NonC19",51
2020-04-12,"Hywel Dda University Health Board","All",68
2020-04-12,"Abertawe Bro Morgannwg University Health Board","C19",33
2020-04-12,"Abertawe Bro Morgannwg University Health Board","NonC19",14
2020-04-12,"Abertawe Bro Morgannwg University Health Board","All",47
2020-04-12,"Cardiff and Vale University Health Board","C19",31
2020-04-12,"Cardiff and Vale University Health Board","NonC19",105
2020-04-12,"Cardiff and Vale University Health Board","All",136
2020-04-12,"Cwm Taf University Health Board","C19",31
2020-04-12,"Cwm Taf University Health Board","NonC19",35
2020-04-12,"Cwm Taf University Health Board","All",66
2020-04-12,"Aneurin Bevan University Health Board","C19",20
2020-04-12,"Aneurin Bevan University Health Board","NonC19",72
2020-04-12,"Aneurin Bevan University Health Board","All",92
2020-04-12,"Velindre University NHS Trust","C19",0
2020-04-12,"Velindre University NHS Trust","NonC19",1
2020-04-12,"Velindre University NHS Trust","All",1
2020-04-12,"Wales","C19",168
2020-04-12,"Wales","NonC19",329
2020-04-12,"Wales","All",497
2020-04-13,"Betsi Cadwaladr University Health Board","C19",24
2020-04-13,"Betsi Cadwaladr University Health Board","NonC19",55
2020-04-13,"Betsi Cadwaladr University Health Board","All",79
2020-04-13,"Hywel Dda University Health Board","C19",21
2020-04-13,"Hywel Dda University Health Board","NonC19",27
2020-04-13,"Hywel Dda University Health Board","All",48
2020-04-13,"Abertawe Bro Morgannwg University Health Board","C19",5
2020-04-13,"Abertawe Bro Morgannwg University Health Board","NonC19",24
2020-04-13,"Abertawe Bro Morgannwg University Health Board","All",29
2020-04-13,"Cardiff and Vale University Health Board","C19",23
2020-04-13,"Cardiff and Vale University Health Board","NonC19",98
2020-04-13,"Cardiff and Vale University Health Board","All",121
2020-04-13,"Cwm Taf University Health Board","C19",28
2020-04-13,"Cwm Taf University Health Board","NonC19",26
2020-04-13,"Cwm Taf University Health Board","All",54
2020-04-13,"Aneurin Bevan University Health Board","C19",29
2020-04-13,"Aneurin Bevan University Health Board","NonC19",78
2020-04-13,"Aneurin Bevan University Health Board","All",107
2020-04-13,"Velindre University NHS Trust","C19",0
2020-04-13,"Velindre University NHS Trust","NonC19",3
2020-04-13,"Velindre University NHS Trust","All",3
2020-04-13,"Wales","C19",130
2020-04-13,"Wales","NonC19",311
2020-04-13,"Wales","All",441
2020-04-14,"Betsi Cadwaladr University Health Board","C19",21
2020-04-14,"Betsi Cadwaladr University Health Board","NonC19",72
2020-04-14,"Betsi Cadwaladr University Health Board","All",93
2020-04-14,"Hywel Dda University Health Board","C19",9
2020-04-14,"Hywel Dda University Health Board","NonC19",32
2020-04-14,"Hywel Dda University Health Board","All",41
2020-04-14,"Abertawe Bro Morgannwg University Health Board","C19",16
2020-04-14,"Abertawe Bro Morgannwg University Health Board","NonC19",34
2020-04-14,"Abertawe Bro Morgannwg University Health Board","All",50
2020-04-14,"Cardiff and Vale University Health Board","C19",21
2020-04-14,"Cardiff and Vale University Health Board","NonC19",135
2020-04-14,"Cardiff and Vale University Health Board","All",156
2020-04-14,"Cwm Taf University Health Board","C19",23
2020-04-14,"Cwm Taf University Health Board","NonC19",33
2020-04-14,"Cwm Taf University Health Board","All",56
2020-04-14,"Aneurin Bevan University Health Board","C19",16
2020-04-14,"Aneurin Bevan University Health Board","NonC19",95
2020-04-14,"Aneurin Bevan University Health Board","All",111
2020-04-14,"Velindre University NHS Trust","C19",0
2020-04-14,"Velindre University NHS Trust","NonC19",2
2020-04-14,"Velindre University NHS Trust","All",2
2020-04-14,"Wales","C19",106
2020-04-14,"Wales","NonC19",403
2020-04-14,"Wales","All",509
2020-04-15,"Betsi Cadwaladr University Health Board","C19",34
2020-04-15,"Betsi Cadwaladr University Health Board","NonC19",74
2020-04-15,"Betsi Cadwaladr University Health Board","All",108
2020-04-15,"Hywel Dda University Health Board","C19",19
2020-04-15,"Hywel Dda University Health Board","NonC19",82
2020-04-15,"Hywel Dda University Health Board","All",101
2020-04-15,"Abertawe Bro Morgannwg University Health Board","C19",11
2020-04-15,"Abertawe Bro Morgannwg University Health Board","NonC19",65
2020-04-15,"Abertawe Bro Morgannwg University Health Board","All",76
2020-04-15,"Cardiff and Vale University Health Board","C19",19
2020-04-15,"Cardiff and Vale University Health Board","NonC19",150
2020-04-15,"Cardiff and Vale University Health Board","All",169
2020-04-15,"Cwm Taf University Health Board","C19",32
2020-04-15,"Cwm Taf University Health Board","NonC19",43
2020-04-15,"Cwm Taf University Health Board","All",75
2020-04-15,"Aneurin Bevan University Health Board","C19",36
2020-04-15,"Aneurin Bevan University Health Board","NonC19",119
2020-04-15,"Aneurin Bevan University Health Board","All",155
2020-04-15,"Velindre University NHS Trust","C19",0
2020-04-15,"Velindre University NHS Trust","NonC19",7
2020-04-15,"Velindre University NHS Trust","All",7
2020-04-15,"Wales","C19",151
2020-04-15,"Wales","NonC19",540
2020-04-15,"Wales","All",691
2020-04-16,"Betsi Cadwaladr University Health Board","C19",22
2020-04-16,"Betsi Cadwaladr University Health Board","NonC19",118
2020-04-16,"Betsi Cadwaladr University Health Board","All",140
2020-04-16,"Hywel Dda University Health Board","C19",11
2020-04-16,"Hywel Dda University Health Board","NonC19",97
2020-04-16,"Hywel Dda University Health Board","All",108
2020-04-16,"Abertawe Bro Morgannwg University Health Board","C19",12
2020-04-16,"Abertawe Bro Morgannwg University Health Board","NonC19",45
2020-04-16,"Abertawe Bro Morgannwg University Health Board","All",57
2020-04-16,"Cardiff and Vale University Health Board","C19",23
2020-04-16,"Cardiff and Vale University Health Board","NonC19",149
2020-04-16,"Cardiff and Vale University Health Board","All",172
2020-04-16,"Cwm Taf University Health Board","C19",16
2020-04-16,"Cwm Taf University Health Board","NonC19",52
2020-04-16,"Cwm Taf University Health Board","All",68
2020-04-16,"Aneurin Bevan University Health Board","C19",20
2020-04-16,"Aneurin Bevan University Health Board","NonC19",123
2020-04-16,"Aneurin Bevan University Health Board","All",143
2020-04-16,"Velindre University NHS Trust","C19",0
2020-04-16,"Velindre University NHS Trust","NonC19",10
2020-04-16,"Velindre University NHS Trust","All",10
2020-04-16,"Wales","C19",104
2020-04-16,"Wales","NonC19",594
2020-04-16,"Wales","All",698
2020-04-17,"Betsi Cadwaladr University Health Board","C19",35
2020-04-17,"Betsi Cadwaladr University Health Board","NonC19",106
2020-04-17,"Betsi Cadwaladr University Health Board","All",141
2020-04-17,"Hywel Dda University Health Board","C19",15
2020-04-17,"Hywel Dda University Health Board","NonC19",89
2020-04-17,"Hywel Dda University Health Board","All",104
2020-04-17,"Abertawe Bro Morgannwg University Health Board","C19",26
2020-04-17,"Abertawe Bro Morgannwg University Health Board","NonC19",54
2020-04-17,"Abertawe Bro Morgannwg University Health Board","All",80
2020-04-17,"Cardiff and Vale University Health Board","C19",18
2020-04-17,"Cardiff and Vale University Health Board","NonC19",189
2020-04-17,"Cardiff and Vale University Health Board","All",207
2020-04-17,"Cwm Taf University Health Board","C19",26
2020-04-17,"Cwm Taf University Health Board","NonC19",46
2020-04-17,"Cwm Taf University Health Board","All",72
2020-04-17,"Aneurin Bevan University Health Board","C19",31
2020-04-17,"Aneurin Bevan University Health Board","NonC19",147
2020-04-17,"Aneurin Bevan University Health Board","All",178
2020-04-17,"Velindre University NHS Trust","C19",0
2020-04-17,"Velindre University NHS Trust","NonC19",5
2020-04-17,"Velindre University NHS Trust","All",5
2020-04-17,"Wales","C19",151
2020-04-17,"Wales","NonC19",636
2020-04-17,"Wales","All",787
2020-04-18,"Betsi Cadwaladr University Health Board","C19",22
2020-04-18,"Betsi Cadwaladr University Health Board","NonC19",88
2020-04-18,"Betsi Cadwaladr University Health Board","All",110
2020-04-18,"Hywel Dda University Health Board","C19",13
2020-04-18,"Hywel Dda University Health Board","NonC19",79
2020-04-18,"Hywel Dda University Health Board","All",92
2020-04-18,"Abertawe Bro Morgannwg University Health Board","C19",15
2020-04-18,"Abertawe Bro Morgannwg University Health Board","NonC19",45
2020-04-18,"Abertawe Bro Morgannwg University Health Board","All",60
2020-04-18,"Cardiff and Vale University Health Board","C19",28
2020-04-18,"Cardiff and Vale University Health Board","NonC19",142
2020-04-18,"Cardiff and Vale University Health Board","All",170
2020-04-18,"Cwm Taf University Health Board","C19",22
2020-04-18,"Cwm Taf University Health Board","NonC19",57
2020-04-18,"Cwm Taf University Health Board","All",79
2020-04-18,"Aneurin Bevan University Health Board","C19",29
2020-04-18,"Aneurin Bevan University Health Board","NonC19",158
2020-04-18,"Aneurin Bevan University Health Board","All",187
2020-04-18,"Velindre University NHS Trust","C19",0
2020-04-18,"Velindre University NHS Trust","NonC19",7
2020-04-18,"Velindre University NHS Trust","All",7
2020-04-18,"Wales","C19",129
2020-04-18,"Wales","NonC19",576
2020-04-18,"Wales","All",705
2020-04-19,"Betsi Cadwaladr University Health Board","C19",18
2020-04-19,"Betsi Cadwaladr University Health Board","NonC19",64
2020-04-19,"Betsi Cadwaladr University Health Board","All",82
2020-04-19,"Hywel Dda University Health Board","C19",11
2020-04-19,"Hywel Dda University Health Board","NonC19",30
2020-04-19,"Hywel Dda University Health Board","All",41
2020-04-19,"Abertawe Bro Morgannwg University Health Board","C19",12
2020-04-19,"Abertawe Bro Morgannwg University Health Board","NonC19",27
2020-04-19,"Abertawe Bro Morgannwg University Health Board","All",39
2020-04-19,"Cardiff and Vale University Health Board","C19",21
2020-04-19,"Cardiff and Vale University Health Board","NonC19",87
2020-04-19,"Cardiff and Vale University Health Board","All",108
2020-04-19,"Cwm Taf University Health Board","C19",17
2020-04-19,"Cwm Taf University Health Board","NonC19",40
2020-04-19,"Cwm Taf University Health Board","All",57
2020-04-19,"Aneurin Bevan University Health Board","C19",23
2020-04-19,"Aneurin Bevan University Health Board","NonC19",78
2020-04-19,"Aneurin Bevan University Health Board","All",101
2020-04-19,"Velindre University NHS Trust","C19",0
2020-04-19,"Velindre University NHS Trust","NonC19",2
2020-04-19,"Velindre University NHS Trust","All",2
2020-04-19,"Wales","C19",102
2020-04-19,"Wales","NonC19",328
2020-04-19,"Wales","All",430
2020-04-20,"Betsi Cadwaladr University Health Board","C19",23
2020-04-20,"Betsi Cadwaladr University Health Board","NonC19",54
2020-04-20,"Betsi Cadwaladr University Health Board","All",77
2020-04-20,"Hywel Dda University Health Board","C19",22
2020-04-20,"Hywel Dda University Health Board","NonC19",33
2020-04-20,"Hywel Dda University Health Board","All",55
2020-04-20,"Abertawe Bro Morgannwg University Health Board","C19",9
2020-04-20,"Abertawe Bro Morgannwg University Health Board","NonC19",42
2020-04-20,"Abertawe Bro Morgannwg University Health Board","All",51
2020-04-20,"Cardiff and Vale University Health Board","C19",16
2020-04-20,"Cardiff and Vale University Health Board","NonC19",109
2020-04-20,"Cardiff and Vale University Health Board","All",125
2020-04-20,"Cwm Taf University Health Board","C19",19
2020-04-20,"Cwm Taf University Health Board","NonC19",51
2020-04-20,"Cwm Taf University Health Board","All",70
2020-04-20,"Aneurin Bevan University Health Board","C19",25
2020-04-20,"Aneurin Bevan University Health Board","NonC19",86
2020-04-20,"Aneurin Bevan University Health Board","All",111
2020-04-20,"Velindre University NHS Trust","C19",0
2020-04-20,"Velindre University NHS Trust","NonC19",5
2020-04-20,"Velindre University NHS Trust","All",5
2020-04-20,"Wales","C19",114
2020-04-20,"Wales","NonC19",380
2020-04-20,"Wales","All",494
2020-04-21,"Betsi Cadwaladr University Health Board","C19",22
2020-04-21,"Betsi Cadwaladr University Health Board","NonC19",127
2020-04-21,"Betsi Cadwaladr University Health Board","All",149
2020-04-21,"Hywel Dda University Health Board","C19",13
2020-04-21,"Hywel Dda University Health Board","NonC19",66
2020-04-21,"Hywel Dda University Health Board","All",79
2020-04-21,"Abertawe Bro Morgannwg University Health Board","C19",25
2020-04-21,"Abertawe Bro Morgannwg University Health Board","NonC19",53
2020-04-21,"Abertawe Bro Morgannwg University Health Board","All",78
2020-04-21,"Cardiff and Vale University Health Board","C19",22
2020-04-21,"Cardiff and Vale University Health Board","NonC19",156
2020-04-21,"Cardiff and Vale University Health Board","All",178
2020-04-21,"Cwm Taf University Health Board","C19",14
2020-04-21,"Cwm Taf University Health Board","NonC19",65
2020-04-21,"Cwm Taf University Health Board","All",79
2020-04-21,"Aneurin Bevan University Health Board","C19",21
2020-04-21,"Aneurin Bevan University Health Board","NonC19",183
2020-04-21,"Aneurin Bevan University Health Board","All",204
2020-04-21,"Velindre University NHS Trust","C19",0
2020-04-21,"Velindre University NHS Trust","NonC19",8
2020-04-21,"Velindre University NHS Trust","All",8
2020-04-21,"Wales","C19",117
2020-04-21,"Wales","NonC19",658
2020-04-21,"Wales","All",775
2020-04-22,"Betsi Cadwaladr University Health Board","C19",30
2020-04-22,"Betsi Cadwaladr University Health Board","NonC19",101
2020-04-22,"Betsi Cadwaladr University Health Board","All",131
2020-04-22,"Hywel Dda University Health Board","C19",19
2020-04-22,"Hywel Dda University Health Board","NonC19",94
2020-04-22,"Hywel Dda University Health Board","All",113
2020-04-22,"Abertawe Bro Morgannwg University Health Board","C19",12
2020-04-22,"Abertawe Bro Morgannwg University Health Board","NonC19",55
2020-04-22,"Abertawe Bro Morgannwg University Health Board","All",67
2020-04-22,"Cardiff and Vale University Health Board","C19",23
2020-04-22,"Cardiff and Vale University Health Board","NonC19",173
2020-04-22,"Cardiff and Vale University Health Board","All",196
2020-04-22,"Cwm Taf University Health Board","C19",20
